year,mem,esm,scenario,mask,mean_annual_bio
2093,macroecological,gfdl,ssp585,8448,1.5431347846984864
2093,macroecological,gfdl,ssp585,8449,1.6314757974059493
2093,macroecological,gfdl,ssp585,8450,3.067346750895182
2093,macroecological,gfdl,ssp585,8454,1.5434712966283162
2093,macroecological,gfdl,ssp585,8488,2.6008774857772026
2093,macroecological,gfdl,ssp585,9999,1.6351376316126656
2093,macroecological,gfdl,ssp585,48957,1.1170432090759277
2093,macroecological,gfdl,ssp585,48980,1.2267127200961112
2094,macroecological,gfdl,ssp585,8312,1.7712880840301513
2094,macroecological,gfdl,ssp585,8313,1.405665794285861
2094,macroecological,gfdl,ssp585,8314,1.3963702495406274
2094,macroecological,gfdl,ssp585,8315,1.2100648377090693
2094,macroecological,gfdl,ssp585,8316,1.298463631367338
2094,macroecological,gfdl,ssp585,8317,1.9689907066283687
2094,macroecological,gfdl,ssp585,8318,1.5793665609257743
2094,macroecological,gfdl,ssp585,8324,1.5426453442132773
2094,macroecological,gfdl,ssp585,8325,1.5436127088109002
2094,macroecological,gfdl,ssp585,8326,1.4317891791060164
2094,macroecological,gfdl,ssp585,8439,1.7410222382649132
2094,macroecological,gfdl,ssp585,8440,1.809119038153113
2094,macroecological,gfdl,ssp585,8441,4.54149166695372
2094,macroecological,gfdl,ssp585,8444,1.4439796945627998
2094,macroecological,gfdl,ssp585,8445,1.4869640946388245
2094,macroecological,gfdl,ssp585,8446,1.531599728010034
2094,macroecological,gfdl,ssp585,8447,1.3628571972702488
2094,macroecological,gfdl,ssp585,8448,1.475006758249723
2094,macroecological,gfdl,ssp585,8449,1.5800108865455345
2094,macroecological,gfdl,ssp585,8450,3.1148137760162355
2094,macroecological,gfdl,ssp585,8454,1.4511406875792003
2094,macroecological,gfdl,ssp585,8488,2.7413153598183078
2094,macroecological,gfdl,ssp585,9999,1.780698190132777
2094,macroecological,gfdl,ssp585,48957,1.1302124917507173
2094,macroecological,gfdl,ssp585,48980,1.2952108353376388
2095,macroecological,gfdl,ssp585,8312,1.81954363155365
2095,macroecological,gfdl,ssp585,8313,1.4872109521519055
2095,macroecological,gfdl,ssp585,8314,1.5827933939135805
2095,macroecological,gfdl,ssp585,8315,1.4019739218056202
2095,macroecological,gfdl,ssp585,8316,1.3407370452431664
2095,macroecological,gfdl,ssp585,8317,1.6172730768880537
2095,macroecological,gfdl,ssp585,8318,1.699254544023524
2095,macroecological,gfdl,ssp585,8324,1.6334819521974115
2095,macroecological,gfdl,ssp585,8325,1.6067661174008103
2095,macroecological,gfdl,ssp585,8326,1.6200197065198743
2095,macroecological,gfdl,ssp585,8439,2.067533130231111
2095,macroecological,gfdl,ssp585,8440,1.7831960364914776
2095,macroecological,gfdl,ssp585,8441,2.923688014110405
2095,macroecological,gfdl,ssp585,8444,1.5386306959040024
2095,macroecological,gfdl,ssp585,8445,1.5463913917541503
2095,macroecological,gfdl,ssp585,8446,1.5379126039884423
2095,macroecological,gfdl,ssp585,8447,1.5794350270069006
2095,macroecological,gfdl,ssp585,8448,1.5642981767654418
2095,macroecological,gfdl,ssp585,8449,1.5766709910498724
2095,macroecological,gfdl,ssp585,8450,2.2011434857050576
2095,macroecological,gfdl,ssp585,8454,1.5891985155287243
2095,macroecological,gfdl,ssp585,8488,2.0556726706655404
2095,macroecological,gfdl,ssp585,9999,1.8087463636024326
2095,macroecological,gfdl,ssp585,48957,1.2924907684326172
2095,macroecological,gfdl,ssp585,48980,1.4074854582548142
2096,macroecological,gfdl,ssp585,8312,1.7587562551498412
2096,macroecological,gfdl,ssp585,8313,1.5386288144371727
2096,macroecological,gfdl,ssp585,8314,1.6501792142180358
2096,macroecological,gfdl,ssp585,8315,1.205932043492794
2096,macroecological,gfdl,ssp585,8316,1.5396809184896774
2096,macroecological,gfdl,ssp585,8317,2.961896869444078
2096,macroecological,gfdl,ssp585,8318,1.7268103915739825
2096,macroecological,gfdl,ssp585,8324,1.710305475136813
2096,macroecological,gfdl,ssp585,8325,1.4406740479781979
2096,macroecological,gfdl,ssp585,8326,1.8337687946654655
2096,macroecological,gfdl,ssp585,8439,1.6970962285995483
2096,macroecological,gfdl,ssp585,8440,1.8040428391674108
2096,macroecological,gfdl,ssp585,8441,5.199630767999295
2096,macroecological,gfdl,ssp585,8444,1.5128689583610087
2096,macroecological,gfdl,ssp585,8445,1.4483981013298035
2096,macroecological,gfdl,ssp585,8446,1.6618315276279245
2096,macroecological,gfdl,ssp585,8447,1.4366485639051958
2096,macroecological,gfdl,ssp585,8448,1.39561576293065
2096,macroecological,gfdl,ssp585,8449,2.0180165061244257
2096,macroecological,gfdl,ssp585,8450,4.205334499677022
2096,macroecological,gfdl,ssp585,8454,1.3982932624362765
2096,macroecological,gfdl,ssp585,8488,3.9153109788894653
2096,macroecological,gfdl,ssp585,9999,1.5831549839646208
2096,macroecological,gfdl,ssp585,48957,1.1053471982479095
2096,macroecological,gfdl,ssp585,48980,1.1727453485131263
2097,macroecological,gfdl,ssp585,8312,1.7627430000305175
2097,macroecological,gfdl,ssp585,8313,1.3493539029901678
2097,macroecological,gfdl,ssp585,8314,1.349883848307084
2097,macroecological,gfdl,ssp585,8315,1.1388237103819847
2097,macroecological,gfdl,ssp585,8316,1.5687294792437898
2097,macroecological,gfdl,ssp585,8317,3.65680012395305
2097,macroecological,gfdl,ssp585,8318,1.6541002128213484
2097,macroecological,gfdl,ssp585,8324,1.8187794498786205
2097,macroecological,gfdl,ssp585,8325,1.364787643073035
2097,macroecological,gfdl,ssp585,8326,2.0132592304332837
